gene,variable,value
ISG15,chr1:819912-823500,0.00029180196
C1orf159,chr1:819912-823500,0.00026869742
UBE2J2,chr1:819912-823500,0.00025924545
MIB2,chr1:819912-823500,0.00023696764
SLC35E2A,chr1:819912-823500,0.00023148832
ISG15,chr1:826612-827979,0.000291641
C1orf159,chr1:826612-827979,0.00026854922
UBE2J2,chr1:826612-827979,0.00025910238
MIB2,chr1:826612-827979,0.00023683682
SLC35E2A,chr1:826612-827979,0.0002313606
ISG15,chr1:869449-870383,0.00029121162
C1orf159,chr1:869449-870383,0.00026815373
UBE2J2,chr1:869449-870383,0.0002587207
MIB2,chr1:869449-870383,0.00023648812
SLC35E2A,chr1:869449-870383,0.00023101976
ISG15,chr1:903617-907386,0.0002908599
C1orf159,chr1:903617-907386,0.0002678298
UBE2J2,chr1:903617-907386,0.00025840808
MIB2,chr1:903617-907386,0.00023620258
SLC35E2A,chr1:903617-907386,0.00023074064
ISG15,chr1:920493-926443,0.00029085617
C1orf159,chr1:920493-926443,0.00026782625
UBE2J2,chr1:920493-926443,0.0002584046
MIB2,chr1:920493-926443,0.00023619959
SLC35E2A,chr1:920493-926443,0.00023073753
ISG15,chr1:938017-943653,0.00029113388
C1orf159,chr1:938017-943653,0.00026808216
UBE2J2,chr1:938017-943653,0.0002586514
MIB2,chr1:938017-943653,0.00023642514
SLC35E2A,chr1:938017-943653,0.00023095797
ISG15,chr1:958518-963388,0.00029133563
C1orf159,chr1:958518-963388,0.0002682681
UBE2J2,chr1:958518-963388,0.00025883073
MIB2,chr1:958518-963388,0.00023658898
SLC35E2A,chr1:958518-963388,0.00023111812
ISG15,chr1:965294-968061,0.00029114098
C1orf159,chr1:965294-968061,0.0002680893
UBE2J2,chr1:965294-968061,0.00025865805
MIB2,chr1:965294-968061,0.00023643111
SLC35E2A,chr1:965294-968061,0.0002309639
ISG15,chr1:975429-976827,0.00029058522
C1orf159,chr1:975429-976827,0.00026757756
UBE2J2,chr1:975429-976827,0.00025816436
MIB2,chr1:975429-976827,0.00023597998
SLC35E2A,chr1:975429-976827,0.00023052309
ISG15,chr1:983870-984728,0.00029003297
C1orf159,chr1:983870-984728,0.00026706903
UBE2J2,chr1:983870-984728,0.00025767367
MIB2,chr1:983870-984728,0.00023553148
SLC35E2A,chr1:983870-984728,0.00023008499
ISG15,chr1:994735-1006799,0.0002898755
C1orf159,chr1:994735-1006799,0.00026692363
UBE2J2,chr1:994735-1006799,0.00025753345
MIB2,chr1:994735-1006799,0.00023540342
SLC35E2A,chr1:994735-1006799,0.00022995987
ISG15,chr1:1012606-1015854,0.00029017523
C1orf159,chr1:1012606-1015854,0.0002671996
UBE2J2,chr1:1012606-1015854,0.00025779978
MIB2,chr1:1012606-1015854,0.0002356469
SLC35E2A,chr1:1012606-1015854,0.00023019765
ISG15,chr1:1016432-1028059,0.0002906007
C1orf159,chr1:1016432-1028059,0.00026759136
UBE2J2,chr1:1016432-1028059,0.00025817766
MIB2,chr1:1016432-1028059,0.00023599234
SLC35E2A,chr1:1016432-1028059,0.00023053518
ISG15,chr1:1031406-1044350,0.00029068172
C1orf159,chr1:1031406-1044350,0.00026766618
UBE2J2,chr1:1031406-1044350,0.00025824967
MIB2,chr1:1031406-1044350,0.00023605816
SLC35E2A,chr1:1031406-1044350,0.00023059953
ISG15,chr1:1058209-1060805,0.00029019173
C1orf159,chr1:1058209-1060805,0.0002672152
UBE2J2,chr1:1058209-1060805,0.00025781448
MIB2,chr1:1058209-1060805,0.0002356604
SLC35E2A,chr1:1058209-1060805,0.00023021094
ISG15,chr1:1061417-1064903,0.00028932685
C1orf159,chr1:1061417-1064903,0.0002664187
UBE2J2,chr1:1061417-1064903,0.00025704602
MIB2,chr1:1061417-1064903,0.00023495808
SLC35E2A,chr1:1061417-1064903,0.00022952468
ISG15,chr1:1065473-1072772,0.00028852123
C1orf159,chr1:1065473-1072772,0.00026567688
UBE2J2,chr1:1065473-1072772,0.00025633036
MIB2,chr1:1065473-1072772,0.00023430394
SLC35E2A,chr1:1065473-1072772,0.00022888568
ISG15,chr1:1079280-1080567,0.0002881113
C1orf159,chr1:1079280-1080567,0.00026529946
UBE2J2,chr1:1079280-1080567,0.0002559662
MIB2,chr1:1079280-1080567,0.00023397105
SLC35E2A,chr1:1079280-1080567,0.00022856047
ISG15,chr1:1098663-1100182,0.0002881445
C1orf159,chr1:1098663-1100182,0.00026532979
UBE2J2,chr1:1098663-1100182,0.00025599563
MIB2,chr1:1098663-1100182,0.00023399782
SLC35E2A,chr1:1098663-1100182,0.0002285866
ISG15,chr1:1115011-1118473,0.00028843625
C1orf159,chr1:1115011-1118473,0.00026559844
UBE2J2,chr1:1115011-1118473,0.00025625486
MIB2,chr1:1115011-1118473,0.00023423469
SLC35E2A,chr1:1115011-1118473,0.00022881801
ISG15,chr1:1121177-1124087,0.00028882994
C1orf159,chr1:1121177-1124087,0.00026596113
UBE2J2,chr1:1121177-1124087,0.00025660463
MIB2,chr1:1121177-1124087,0.00023455443
SLC35E2A,chr1:1121177-1124087,0.00022913032
ISG15,chr1:1134636-1138947,0.00028933567
C1orf159,chr1:1134636-1138947,0.00026642706
UBE2J2,chr1:1134636-1138947,0.00025705414
MIB2,chr1:1134636-1138947,0.00023496516
SLC35E2A,chr1:1134636-1138947,0.00022953155
ISG15,chr1:1140810-1146832,0.00029005937
C1orf159,chr1:1140810-1146832,0.00026709336
UBE2J2,chr1:1140810-1146832,0.00025769704
MIB2,chr1:1140810-1146832,0.00023555293
SLC35E2A,chr1:1140810-1146832,0.00023010568
ISG15,chr1:1156136-1161349,0.00029097675
C1orf159,chr1:1156136-1161349,0.00026793795
UBE2J2,chr1:1156136-1161349,0.000258512
MIB2,chr1:1156136-1161349,0.0002362977
SLC35E2A,chr1:1156136-1161349,0.00023083334
ISG15,chr1:1165365-1172585,0.00029183668
C1orf159,chr1:1165365-1172585,0.00026872967
UBE2J2,chr1:1165365-1172585,0.000259276
MIB2,chr1:1165365-1172585,0.00023699578
SLC35E2A,chr1:1165365-1172585,0.00023151556
ISG15,chr1:1173115-1174478,0.00029228948
C1orf159,chr1:1173115-1174478,0.00026914664
UBE2J2,chr1:1173115-1174478,0.0002596785
MIB2,chr1:1173115-1174478,0.00023736354
SLC35E2A,chr1:1173115-1174478,0.00023187503
ISG15,chr1:1197018-1201988,0.00029218275
C1orf159,chr1:1197018-1201988,0.00026904832
UBE2J2,chr1:1197018-1201988,0.00025958385
MIB2,chr1:1197018-1201988,0.0002372769
SLC35E2A,chr1:1197018-1201988,0.00023179027
ISG15,chr1:1202681-1209670,0.0002917364
C1orf159,chr1:1202681-1209670,0.00026863744
UBE2J2,chr1:1202681-1209670,0.00025918725
MIB2,chr1:1202681-1209670,0.00023691454
SLC35E2A,chr1:1202681-1209670,0.00023143626
ISG15,chr1:1210271-1220028,0.00029139043
C1orf159,chr1:1210271-1220028,0.00026831892
UBE2J2,chr1:1210271-1220028,0.00025887997
MIB2,chr1:1210271-1220028,0.00023663382
SLC35E2A,chr1:1210271-1220028,0.0002311618
ISG15,chr1:1230651-1244728,0.000291481
C1orf159,chr1:1230651-1244728,0.00026840233
UBE2J2,chr1:1230651-1244728,0.00025896035
MIB2,chr1:1230651-1244728,0.00023670736
SLC35E2A,chr1:1230651-1244728,0.00023123361
ISG15,chr1:1245493-1248050,0.00029195906
C1orf159,chr1:1245493-1248050,0.0002688424
UBE2J2,chr1:1245493-1248050,0.00025938504
MIB2,chr1:1245493-1248050,0.00023709549
SLC35E2A,chr1:1245493-1248050,0.00023161287
ISG15,chr1:1250170-1251592,0.00029245357
C1orf159,chr1:1250170-1251592,0.00026929757
UBE2J2,chr1:1250170-1251592,0.00025982418
MIB2,chr1:1250170-1251592,0.00023749692
SLC35E2A,chr1:1250170-1251592,0.00023200514
ISG15,chr1:1272304-1275446,0.00029258867
C1orf159,chr1:1272304-1275446,0.000269422
UBE2J2,chr1:1272304-1275446,0.0002599442
MIB2,chr1:1272304-1275446,0.00023760663
SLC35E2A,chr1:1272304-1275446,0.00023211238
ISG15,chr1:1291206-1295884,0.00029228025
C1orf159,chr1:1291206-1295884,0.0002691379
UBE2J2,chr1:1291206-1295884,0.00025967028
MIB2,chr1:1291206-1295884,0.0002373561
SLC35E2A,chr1:1291206-1295884,0.00023186763
ISG15,chr1:1303221-1316444,0.00029176942
C1orf159,chr1:1303221-1316444,0.0002686676
UBE2J2,chr1:1303221-1316444,0.00025921647
MIB2,chr1:1303221-1316444,0.00023694144
SLC35E2A,chr1:1303221-1316444,0.0002314624
ISG15,chr1:1322872-1329280,0.0002913599
C1orf159,chr1:1322872-1329280,0.00026829034
UBE2J2,chr1:1322872-1329280,0.0002588527
MIB2,chr1:1322872-1329280,0.00023660887
SLC35E2A,chr1:1322872-1329280,0.00023113744
ISG15,chr1:1330394-1334148,0.00029112297
C1orf159,chr1:1330394-1334148,0.00026807218
UBE2J2,chr1:1330394-1334148,0.0002586422
MIB2,chr1:1330394-1334148,0.00023641656
SLC35E2A,chr1:1330394-1334148,0.00023094952
ISG15,chr1:1342948-1350181,0.0002908539
C1orf159,chr1:1342948-1350181,0.00026782457
